"","X","name","location","lon","lat"
"1649",1649,"sandymaxey","Durham, NC",-78.898619,35.9940329
"1650",1650,"PetrominahsPet","Cincinnati",-84.5120196,39.1031182
"1651",1651,"LauraSh90167051","Lancaster, NY",-78.6341996,42.8982361
"1652",1652,"HatcherByles","Richmond, VA",-77.4360481,37.5407246
"1653",1653,"ALZatt13","North Carolina",-79.0192997,35.7595731
"1654",1654,"tradeshowwendy","Minnesota, USA",-94.6858998,46.729553
"1655",1655,"mirielmargaret","United States",-95.712891,37.09024
"1656",1656,"rema_bema_","Memphis, TN",-90.0489801,35.1495343
"1657",1657,"WaluigiGamer","Pennsylvania, USA",-77.1945247,41.2033216
"1658",1658,"AngrierThanMost","United States",-95.712891,37.09024
"1659",1659,"kakaty","Cleveland, OH",-81.6943605,41.49932
"1660",1660,"CenturyLLC","Greensboro, NC",-79.7919754,36.0726354
"1661",1661,"Mahmissa","Washington, DC",-77.0368707,38.9071923
"1662",1662,"psiangelic","Collingswood, NJ",-75.071284,39.9181686
"1663",1663,"oldfashionjesss","Oklahoma City, Oklahoma",-97.5164276,35.4675602
"1664",1664,"gyjcman","New York, NY",-74.0059728,40.7127753
"1665",1665,"Inhabitkitchen","Raleigh, NC",-78.6381787,35.7795897
"1666",1666,"JorgeVillaMed","Chapel Hill",-79.0558445,35.9131996
"1667",1667,"ridehard2020","Florida, USA",-81.5157535,27.6648274
"1668",1668,"PeggyNyberg","Oregon, USA",-120.5542012,43.8041334
"1669",1669,"HoustonSports13","Earth",-95.7243335,37.2321077
"1670",1670,"jerseejess","NYC",-74.0059728,40.7127753
"1671",1671,"thekayjonas","Wytheville, VA",-81.084811,36.9484528
"1672",1672,"kaivac","Hamilton, OH, USA",-84.5613355,39.3995008
"1673",1673,"kirst_tenpenny","Saukville, Wisconsin",-87.9406453,43.3816691
"1674",1674,"lrhfangirl","New York",-74.0059728,40.7127753
"1675",1675,"Orange_N_Pretty","Murfreesboro, TN",-86.39027,35.8456213
"1676",1676,"DorianSinnott","New York",-74.0059728,40.7127753
"1677",1677,"chosengporter","Tulsa, Oklahoma",-95.992775,36.1539816
"1678",1678,"nellieeee__","Bernalillo, NM",-106.5511369,35.30004
"1679",1679,"_christiekreme","Toronto, Ontario",-79.3831843,43.653226
"1680",1680,"KatieMarieHefne","Lima, OH",-84.1052256,40.742551
"1681",1681,"BreezyAintEZ","Florida",-81.5157535,27.6648274
"1682",1682,"WildePlayz","North Carolina, USA",-79.0192997,35.7595731
"1683",1683,"ntrovrtdempath","Pennsylvania, USA",-77.1945247,41.2033216
"1684",1684,"sarahsimmons712","Tennessee, USA",-86.5804473,35.5174913
"1685",1685,"ashmdennison","Colorado Springs, CO",-104.8213634,38.8338816
"1686",1686,"teenielove","Richmond, VA",-77.4360481,37.5407246
"1687",1687,"_SkylarBowen","Florida, USA",-81.5157535,27.6648274
"1688",1688,"LostSoulOfEarth","Shamokin, PA",-76.5588473,40.7889746
"1689",1689,"michaeldcmap","Draper, UT",-111.8638226,40.5246711
"1690",1690,"icinglover1995","Chattanooga, TN",-85.3096801,35.0456297
"1691",1691,"NYCMemphis","Memphis",-90.0489801,35.1495343
"1692",1692,"KingMiMi101","E-block",-79.392494,43.637822
"1693",1693,"CDAthletics","Harrisburg, PA, USA",-76.8867008,40.2731911
"1694",1694,"stephaniemedira","Wilmington,North Carolina, USA",-77.8868117,34.2103894
"1695",1695,"_annastackz","Cleveland, OH",-81.6943605,41.49932
"1696",1696,"Rico10x","Ann Arbor, MI",-83.7430378,42.2808256
"1697",1697,"lilyp00ps","Texas",-99.9018131,31.9685988
"1698",1698,"zdlwood11","Yorktown",-76.5096731,37.2387556
"1699",1699,"Mayciburk123","Wilson, OK",-97.4258551,34.1620385
"1700",1700,"CMNickTV","United States",-95.712891,37.09024
"1701",1701,"melissatyndall","Nashville, TN",-86.7816016,36.1626638
"1702",1702,"TripndFall","New Jersey, USA",-74.4056612,40.0583238
"1703",1703,"ApgDiscovery","Aberdeen, Maryland",-76.1641197,39.5095556
"1704",1704,"meimmack","Trinidad and Tobago",-61.222503,10.691803
"1705",1705,"BrookeOakes04","Tullahoma, TN",-86.2094342,35.3620235
"1706",1706,"scorpihoeee","Dunedin, FL",-82.7717684,28.0197404
"1707",1707,"wesley_wolffe11","Memphis, TN",-90.0489801,35.1495343
"1708",1708,"razgamer13","United States",-95.712891,37.09024
"1709",1709,"cancer_living","Kansas City, MO",-94.5785667,39.0997265
"1710",1710,"kiara_1d","New Hampshire, USA",-71.5723953,43.1938516
"1711",1711,"DelilahSDawson","Tampa, FL",-82.4571776,27.950575
"1712",1712,"chattyknana","United States",-95.712891,37.09024
"1713",1713,"anniem","Chicago, IL",-87.6297982,41.8781136
"1714",1714,"notrachel","Connecticut",-73.087749,41.6032207
"1715",1715,"DelishLilBites","Delaware, USA",-75.5276699,38.9108325
"1716",1716,"MattMcGahey27","Johnson City, TN",-82.3534727,36.3134397
"1717",1717,"gxthhoney","Milford, CT",-73.064036,41.2306979
"1718",1718,"6abc","Philadelphia",-75.1652215,39.9525839
"1719",1719,"MikeWiz39","The United States of America ",-95.712891,37.09024
"1720",1720,"ashhyra","Canada",-106.346771,56.130366
"1721",1721,"dmullinsdms","Norwich, VT",-72.307869,43.7153482
"1722",1722,"Mallory_Brooke8","Minford, Ohio",-82.8619549,38.8590595
"1723",1723,"jakki_fave","Nashville, Tennessee",-86.7816016,36.1626638
"1724",1724,"WMUR9","New Hampshire",-71.5723953,43.1938516
"1725",1725,"mummyah04","Boston MA",-71.0588801,42.3600825
"1726",1726,"doty_shannon","Minneapolis",-93.2650108,44.977753
"1727",1727,"AnnieB1182","Halifax, Nova Scotia",-63.5752387,44.6487635
"1728",1728,"jsonjonson","Fishers, IN",-86.01335,39.9567548
"1729",1729,"lindapoitevin","Ottawa, Canada",-75.6971931,45.4215296
"1730",1730,"CLTHousewives","Charlotte, NC",-80.8431267,35.2270869
"1731",1731,"KyleSieg","Jacksonville, FL",-81.655651,30.3321838
"1732",1732,"Victoria_woo22","Duncan, Ok",-97.9578128,34.5023028
"1733",1733,"EvanDennison1","Maysville, KY",-83.744365,38.6411854
"1734",1734,"ladyjlc1","Toronto, Ontario",-79.3831843,43.653226
"1735",1735,"schazad","Oakville, Ontario",-79.6876659,43.467517
"1736",1736,"shburchill","nova scotia, canada",-63.744311,44.6819866
"1737",1737,"CEVAXIN_PTY","Panama",-80.782127,8.537981
"1738",1738,"Mvrcus_VD","NJ",-74.4056612,40.0583238
"1739",1739,"shannonstacey","New Hampshire",-71.5723953,43.1938516
"1740",1740,"adam_smithTN","Burlington, NC",-79.4377991,36.0956918
"1741",1741,"HealthcareGlob1","USA",-95.712891,37.09024
"1742",1742,"Una_Bella_Donna","South Carolina, USA",-81.1637245,33.836081
"1743",1743,"bymysidebritsau","Australia",133.775136,-25.274398
"1744",1744,"WarChemist48","Yorktown, VA",-76.5096731,37.2387556
"1745",1745,"lex1science","Lexington, SC",-81.2362107,33.9815369
"1746",1746,"APrettyLoveSong","Boston, MA",-71.0588801,42.3600825
"1747",1747,"AustinDonovann","Long Island",-73.134961,40.789142
"1748",1748,"SWXRightNow","Eastern Washington",-117.5860889,47.4905928
"1749",1749,"TheArtHovel","Illinois, USA",-89.3985283,40.6331249
"1750",1750,"janehillhouse1","United States",-95.712891,37.09024
"1751",1751,"dvmnadam","indianapolis",-86.158068,39.768403
"1752",1752,"karissaturney","Indiana, USA",-86.1349019,40.2671941
"1753",1753,"JimboBiguns","United States",-95.712891,37.09024
"1754",1754,"JeremyParkerM","Winchendon, Ma.",-72.0439529,42.6871009
"1755",1755,"HollyCaptain","Cincinnati",-84.5120196,39.1031182
"1756",1756,"Somemyrrh","United States",-95.712891,37.09024
"1757",1757,"Luke_A_Thomas_","Murfreesboro, TN",-86.39027,35.8456213
"1758",1758,"jmopdyke","Doylestown, PA",-75.1298939,40.3101063
"1759",1759,"_itsCHRISTAL","Dayton , Ohio ",-84.1916069,39.7589478
"1760",1760,"RaainDrrop","Canada",-106.346771,56.130366
"1761",1761,"angela_pohlit","Texas",-99.9018131,31.9685988
"1762",1762,"DavidKetcham17","Kentucky, USA",-84.2700179,37.8393332
"1763",1763,"WHarris57582868","United States",-95.712891,37.09024
"1764",1764,"Xalthir","Louisiana, USA",-91.9623327,30.9842977
"1765",1765,"BoxedCatGamers","Pennsylvania, USA",-77.1945247,41.2033216
"1766",1766,"kacion","West Virginia",-80.4549026,38.5976262
"1767",1767,"EllePolani","New York, NY",-74.0059728,40.7127753
"1768",1768,"ny3t0","Baltimore, MD",-76.6121893,39.2903848
"1769",1769,"melissaashley06","Nova Scotia, Canada",-63.744311,44.6819866
"1770",1770,"littlelyviajean","North Carolina, USA",-79.0192997,35.7595731
"1771",1771,"Atagahi","Kansas, USA",-98.4842465,39.011902
"1772",1772,"2TheMAINevent","Maryland, USA",-76.6412712,39.0457549
"1773",1773,"amyintheburg","Harrisburg, PA",-76.8867008,40.2731911
"1774",1774,"boiler_brandon","West Lafayette",-86.9080655,40.4258686
"1775",1775,"osmond71","Dartmouth, Nova Scotia",-63.5579269,44.7000282
"1776",1776,"magscolvett","Columbus, OH",-82.9987942,39.9611755
"1777",1777,"_cheeLEE","Milwaukee, WI",-87.9064736,43.0389025
"1778",1778,"ChristinaxMarie","New York, New York",-115.1745559,36.1023715
"1779",1779,"kevinwhitaker13","Grimsby, Ontario",-79.5624195,43.1942126
"1780",1780,"WJCLNews","Savannah, GA",-81.091203,32.0808989
"1781",1781,"RemmyGx1","N. Va",-77.1281962,38.890436
"1782",1782,"wyffnews4","Greenville, SC ",-82.3940104,34.8526176
"1783",1783,"WCVB","Boston, MA",-71.0588801,42.3600825
"1784",1784,"CatatonicOne","Ozarks",-93.097702,36.5692952
"1785",1785,"Charneilb","Connecticut",-73.087749,41.6032207
"1786",1786,"Mah_ree_aahh","Charleston, SC",-79.9310512,32.7764749
"1787",1787,"WGAL","Lancaster, PA",-76.1783739,40.0466571
"1788",1788,"ChaseHarvick","Oklahoma City, OK",-97.5164276,35.4675602
"1789",1789,"WXII","Piedmont Triad, NC",-79.9351805,36.1043671
"1790",1790,"koconews","Oklahoma City",-97.5164276,35.4675602
"1791",1791,"BenjieWimberly","Paterson, NJ",-74.171811,40.9167654
"1792",1792,"koat7news","Albuquerque, NM, USA",-106.650422,35.0843859
"1793",1793,"wbaltv11","Baltimore, MD",-76.6121893,39.2903848
"1794",1794,"FixYourDLP","california",-119.4179324,36.778261
"1795",1796,"rita21411","Texas, USA",-99.9018131,31.9685988
"1796",1797,"DrugStoreNews","New York, NY",-74.0059728,40.7127753
"1797",1798,"VindicoMedEd","Thorofare, NJ",-75.1969346,39.8422093
"1798",1799,"BKilby","Mooresville, NC",-80.8081413,35.5859146
"1799",1800,"mister_blank","Near Worcester, MA",-71.8022934,42.2625932
"1800",1803,"BigSnugALot","Providence, RI",-71.4128343,41.8239891
"1801",1804,"LDCHEALTH","Lawrence, Kansas",-95.2352501,38.9716689
"1802",1808,"ASMicrobiology","Washington, DC",-77.0368707,38.9071923
"1803",1810,"murksmusings","Illinois",-89.3985283,40.6331249
"1804",1812,"caitlyn_weir","Mount Ayr, ia",-94.235232,40.7147147
"1805",1817,"570NEWS","Kitchener, Ontario",-80.4925337,43.4516395
"1806",1819,"paj8588","Missouri, USA",-91.8318334,37.9642529
"1807",1823,"Debbie29490650","Texas 🇨🇱, USA 🇺🇸",-99.9018131,31.9685988
"1808",1826,"kayeyewhy","New York, USA",-74.0059728,40.7127753
"1809",1827,"darcy6179","Mount Vernon, OH",-82.4857181,40.3933956
"1810",1829,"thelonevirologi","USA",-95.712891,37.09024
"1811",1830,"SciencePharmer","Petawawa, Ontario",-77.2828772,45.8982631
"1812",1832,"Geospatial_DA","Sparks, MD",-76.6458043,39.5309389
"1814",1834,"nutritiontastic","New York, NY",-74.0059728,40.7127753
"1815",1835,"realiwasframed","U.S.A.",-95.712891,37.09024
"1816",1836,"ghw55","Newark, Delaware",-75.7496572,39.6837226
"1817",1837,"BuddyB04863931","Midwest, USA",-97.4107128,35.463494
"1818",1839,"hashtag_big","United States",-95.712891,37.09024
"1819",1840,"nativeminnow","The Shallows",-71.8305271,41.3792957
"1820",1842,"ChrisLoesch","Texas",-99.9018131,31.9685988
"1821",1843,"miguel_reyesMD","Manhattan, NY",-73.9712488,40.7830603
"1822",1844,"onwnews","Oshkosh, Wisconsin",-88.5426136,44.0247062
"1823",1845,"medicalaxioms","United States",-95.712891,37.09024
"1824",1848,"lakeeriecollege","Painesville, Ohio",-81.245657,41.7244885
"1825",1849,"Wasssaname","Brooklyn, NY",-73.9441579,40.6781784
"1826",1857,"johncachero","Hampton Roads, Virginia",-76.3452218,37.0298687
"1827",1858,"MadisonVirology","Wisconsin, USA",-88.7878678,43.7844397
"1828",1860,"QueensPHPM","Kingston, Ontario",-76.4859544,44.2311717
"1829",1861,"JacesJarsofHope","Wisconsin, USA",-88.7878678,43.7844397
"1830",1862,"Ashley03278285","Nebraska, USA ",-99.9018131,41.4925374
"1831",1864,"IndieCongress","United States",-95.712891,37.09024
"1832",1865,"BagalueSunab","Trinidad and Tobago",-61.222503,10.691803
"1833",1866,"TurnerNovak","Grand Rapids, MI",-85.6680863,42.9633599
"1834",1868,"ThugPugMom","Bowling Green, KY",-86.4808043,36.9685219
"1835",1869,"TheInfluenzers","Washington, DC",-77.0368707,38.9071923
"1836",1871,"PKO823","Canada",-106.346771,56.130366
"1837",1876,"PRI_Insurance","Roslyn, NY",-73.6509622,40.7998227
