"","X","name","location","lon","lat"
"3137",5205,"misspdw","Rockville, MD",-77.1527578,39.0839973
"3138",5206,"AnneUrsell","Kensington, MD",-77.0763669,39.0256651
"3139",5207,"CosmicLunchLady","Cosmos",-95.9759823,36.1144634
"3142",5212,"TTNGONews","Trinidad & Tobago",-61.222503,10.691803
"3146",5216,"svsaadultsoccer","Cranberry Township, PA  USA",-80.1071379,40.6849626
"3148",5218,"SaludHEALTHinfo","SAN DIEGO",-117.1610838,32.715738
"3149",5220,"messageplicity","Saint Louis, Missouri ",-90.1994042,38.6270025
"3150",5221,"totyfroty255","Seoul, Republic of Korea",126.9779692,37.566535
"3152",5224,"CentroGripe","Valladolid, España",-4.7245321,41.652251
"3153",5225,"Kasia_HP","Denver, CO",-104.990251,39.7392358
"3156",5228,"yamatho2","Wayne PA",-75.3698895,40.0415996
"3160",5235,"Ana_love050","Memphis, TN",-90.0489801,35.1495343
"3161",5237,"rockie_springer","San Antonio, TX",-98.4936282,29.4241219
"3162",5238,"DoctorSekzi","Here",-95.9359977,36.7435531
"3163",5239,"LJOates75","Cary, NC",-78.7811169,35.79154
"3164",5240,"QTent2016","Toronto, Ontario",-79.3831843,43.653226
"3165",5242,"AbtKathleen","Bethesda, MD",-77.0947092,38.984652
"3166",5243,"Belle_Vivant","Texas, USA",-99.9018131,31.9685988
"3169",5248,"Jesspmkn","Strongsville, OH",-81.83569,41.3144966
"3170",5250,"_sNawal","Riyadh/Makkah",46.7381962,24.6605221
"3173",5256,"CathyFarrow1","Central Okanagan, British Columbia",-119.5588208,49.9473663
"3174",5258,"Acharya_Amit","Marshfield, WI",-90.1717987,44.6688524
"3175",5260,"CaraThurman","Nashville/NYC",-86.7816016,36.1626638
"3176",5261,"chsabc2015","St Joseph, MO",-94.846681,39.7674578
"3177",5262,"alsaleh4u","Riyadh, Kingdom of Saudi Arabia",46.6752957,24.7135517
"3178",5263,"OSAPtweets","Atlanta, GA",-84.3879824,33.7489954
"3180",5265,"Gerardo8aV","Cayman Islands",-81.2546,19.3133
"3181",5266,"kevinault","Overland Park, KS",-94.6707917,38.9822282
"3183",5270,"ShannonGBlake4","Atlanta, Georgia",-84.3879824,33.7489954
"3186",5273,"MamtaKJain","Dallas, TX",-96.7969879,32.7766642
"3187",5274,"baconised","Bedford, MA",-71.2760089,42.4906231
"3188",5277,"ImproveAU","Globally",-81.246279,42.9847954
"3189",5281,"SuzanneNorby","Rochester, MN",-92.4801989,44.0121221
"3190",5282,"DCJ819","NC",-79.0192997,35.7595731
"3191",5283,"paulakaribau","Port Moresby, Papua New Guinea",147.1802671,-9.4438004
"3193",5285,"LoggheMD","Reno, Nevada",-119.8138027,39.5296329
"3195",5289,"TomVanOsdol1","Jacksonville, Florida",-81.655651,30.3321838
"3197",5293,"uconnhealth","Farmington, CT",-72.795027,41.7360305
"3199",5295,"barav","Washington, DC",-77.0368707,38.9071923
"3200",5296,"amal_elan","San Francisco Bay Area, CA",-122.2913078,37.8271784
"3201",5299,"THealthNetwork","Southfield, MI",-83.2218731,42.4733688
"3202",5300,"NJHospitals","Princeton, N.J.",-74.6672226,40.3572976
"3203",5301,"OhioHospitals","Columbus, OH",-82.9987942,39.9611755
"3204",5303,"NurseCollins1","Houston, TX",-95.3698028,29.7604267
"3206",5307,"AshleySpicerTV","Jacksonville, Florida",-81.655651,30.3321838
"3210",5312,"mitchells_drug","Neosho, MO",-94.367996,36.8689554
"3211",5316,"CHCConnecticut","Connecticut",-73.087749,41.6032207
"3212",5317,"elliothealthsys","Manchester, NH",-71.4547891,42.9956397
"3214",5320,"TLRMC_info","Leitchfield, Kentucky",-86.2938637,37.4800544
"3219",5325,"JeffMedical","Jefferson Parish, Lousiana",-90.1120696,29.6498691
"3220",5326,"KeukaHealth","Keuka Park, NY",-77.0919056,42.6151357
"3221",5327,"vbellrn","Oklahoma City, OK",-97.5164276,35.4675602
"3222",5328,"wiggley_dale","New Zealand",174.885971,-40.900557
"3224",5330,"rumflavor","cuba/florida",-78.219132,21.5149423
"3225",5331,"NHTIHealth","Concord, NH",-71.5375718,43.2081366
"3226",5332,"GoSignMeUp","Irvine, CA",-117.8265049,33.6845673
"3227",5334,"allenturd","San Francisco, CA.",-122.4194155,37.7749295
"3228",5335,"JenniferMeyer6","UAA",-149.8195598,61.1910421
"3229",5336,"CAPublicHealth","Sacramento, CA",-121.4943996,38.5815719
"3231",5339,"MaryKateC35","Milwaukee, WI",-87.9064736,43.0389025
